pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,hits,abs,exit_velocity,launch_angle,spin_rate,velocity,effective_speed
158,543542,Alex Meyer,158,100,0.4,0.4,0.474,0.8,12,30,26.6,11.4,2124,92.75,93.53
158,446453,Levale Speigner,158,100,0.406,0.156,0.4,0.563,13,32,,,,86.84,
157,572308,Jose Valdez,157,100,0.286,0.257,0.276,0.543,10,35,20,6.6,2260,92.83,92.22
157,490313,Amauri Sanit,157,100,0.353,0.118,0.4,0.471,12,34,,,,85.99,
157,595918,A.J. Cole,157,100,0.341,0.122,0.406,0.463,14,41,18,5.4,1879,87.23,87.2
157,449110,Omar Beltre,157,100,0.321,0.321,0.375,0.643,9,28,,,,88.99,
156,459974,Jon Meloan,156,100,0.094,0,0.158,0.094,3,32,,,,88.63,
154,425655,John Koronka,154,100,0.344,0.406,0.292,0.75,11,32,,,,84.81,
151,421104,Lee Gardner,151,100,0.424,0.333,0.444,0.758,14,33,,,,84.07,
150,469834,Shane Lindsay,150,100,0.379,0.241,0.455,0.621,11,29,,,,93.52,
149,457751,Evan Crawford,149,100,0.333,0.367,0.318,0.7,10,30,,,,85.32,
149,150295,Micah Bowie,149,100,0.333,0.242,0.357,0.576,11,33,,,,84.88,
146,542369,Edwar Cabrera,146,100,0.346,0.385,0.333,0.731,9,26,,,,85.99,
146,451262,A.J. Murray,146,100,0.343,0.057,0.4,0.4,12,35,,,,83.76,
145,500765,Dayan Diaz,145,100,0.37,0.333,0.348,0.704,10,27,87.9,7.2,2146,92.03,92.26
145,594985,Ben Rowen,145,100,0.313,0.063,0.37,0.375,10,32,,,,77.06,
144,643325,Chad Girodo,144,100,0.268,0.268,0.242,0.537,11,41,91.6,2.5,1906,83.97,83.89
144,444874,Juan Abreu,144,100,0.231,0.192,0.385,0.423,6,26,,,,92.93,
144,542888,Shawn Armstrong,144,100,0.219,0.156,0.3,0.375,7,32,14,4.6,2446,92.97,93.95
144,543518,Scott McGough,144,100,0.387,0.097,0.444,0.484,12,31,16.9,2.5,2243,90.92,89.21
144,460639,Jailen Peguero,144,100,0.281,0.094,0.333,0.375,9,32,,,,88.87,
143,591693,Edubray Ramos,143,100,0.281,0.094,0.391,0.375,9,32,92.1,8.3,2418,89.79,89.58
141,407835,Jason Lane,141,100,0.179,0.103,0.188,0.282,7,39,,,,82.41,
140,523648,Mark Hamburger,140,100,0.179,0.107,0.227,0.286,5,28,,,,90.14,
138,456899,Jon Link,138,100,0.333,0.056,0.375,0.389,12,36,,,,87.37,
137,150393,Tony Armas,137,100,0.324,0.294,0.333,0.618,11,34,,,,86.99,
135,608337,Lucas Giolito,135,100,0.267,0.267,0.261,0.533,8,30,90.7,10.1,2116,91.48,92.33
134,277184,Matt Wise,134,100,0.323,0.258,0.348,0.581,10,31,,,,80.04,
132,458094,Daniel Stange,132,100,0.261,0.304,0.222,0.565,6,23,,,,89.65,
131,596331,Nefi Ogando,131,100,0.3,0.067,0.346,0.367,9,30,29.8,3.4,2054,93.54,93.45
131,451256,Kurt Birkins,131,100,0.161,0,0.2,0.161,5,31,,,,84.4,
130,503438,Rob Delaney,130,100,0.286,0.238,0.278,0.524,6,21,,,,87.58,
130,457858,Rich Rundles,130,100,0.261,0.087,0.375,0.348,6,23,,,,79.48,
130,646057,Miguel Alfredo Gonzalez,130,100,0.346,0.192,0.4,0.538,9,26,,,,89.37,
129,455047,Jeff Ridgway,129,100,0.207,0.345,0.15,0.552,6,29,,,,88.08,
128,275700,Winston Abreu,128,100,0.37,0.259,0.421,0.63,10,27,,,,88.25,
126,519411,Matt West,126,100,0.296,0.074,0.364,0.37,8,27,17.2,9.3,2219,90.46,88.83
125,460257,Matt Fox,125,100,0.296,0.037,0.276,0.333,8,27,,,,87.85,
124,450832,Jesse English,124,100,0.323,0.097,0.37,0.419,10,31,,,,84.63,
123,547939,Chang-Yong Lim,123,100,0.316,0.105,0.429,0.421,6,19,,,,87.64,
123,519229,Seth Rosin,123,100,0.448,0.241,0.462,0.69,13,29,22.6,8.4,1679,87.7,88.61
123,548348,Donnie Joseph,123,100,0.333,0.185,0.471,0.519,9,27,,,,87.24,
122,466838,Juan Salas,122,100,0.217,0.13,0.333,0.348,5,23,,,,87.89,
119,150037,Ray King,119,100,0.333,0.185,0.32,0.519,9,27,,,,84.44,
119,605317,Guido Knudson,119,100,0.464,0.679,0.471,1.143,13,28,19.7,7.4,2097,89.04,88.81
119,450321,Bill White,119,100,0.368,0.368,0.353,0.737,7,19,,,,85.25,
119,501627,Cesar Cabral,119,100,0.318,0,0.538,0.318,7,22,13.7,-1.3,1975,86,85.17
116,452075,Connor Robertson,116,100,0.286,0.214,0.28,0.5,8,28,,,,85.88,
116,605338,Jacob Lindgren,116,100,0.208,0.417,0.143,0.625,5,24,15.9,4.6,2121,87.15,86.38
115,518489,Ryan Brasier,115,100,0.233,0.1,0.261,0.333,7,30,,,,92.12,
115,500909,Mauricio Robles,115,100,0.318,0.045,0.438,0.364,7,22,,,,87.45,
115,458720,John Holdzkom,115,100,0.148,0.111,0.214,0.259,4,27,,,,94.77,
115,424426,Ryan Bukvich,115,100,0.375,0.333,0.412,0.708,9,24,,,,90.77,
115,599683,Warwick Saupold,115,100,0.433,0.133,0.542,0.567,13,30,94.2,6.6,2211,89.13,88.41
114,471919,Jhonny Nunez,114,100,0.37,0.259,0.391,0.63,10,27,,,,90.04,
114,457444,Jay Marshall,114,100,0.406,0.188,0.4,0.594,13,32,,,,81.74,
112,543853,Taylor Thompson,112,100,0.391,0.217,0.444,0.609,9,23,,,,88.87,
111,456744,Chris Schroder,111,100,0.3,0.3,0.267,0.6,6,20,,,,88.01,
110,119827,Hideo Nomo,110,100,0.455,0.545,0.412,1,10,22,,,,81.6,
110,445202,Joe Bisenius,110,100,0.3,0.25,0.357,0.55,6,20,,,,93.05,
