Rk,Player,From,To,Tm,Lg,POS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,WS
199,Kendall Marshall,2013,2015,TOT,NBA,PG,130,51,2683,3.6,9,2.1,5,1.5,4,0.5,0.8,0.3,2.7,3,9.5,1.2,0.1,3.2,2,9.3,0.405,0.428,0.377,0.489,0.593,0.496,1.5
8,Kenneth Faried,2012,2014,DEN,NBA,PF,206,196,5463,6.6,12,6.6,12,0,0,3.1,4.9,4.2,7.4,11.7,1.4,1.2,1.3,2,3.6,16.4,0.554,0.555,0,0.554,0.64,0.581,18.9
183,Kent Bazemore,2013,2015,TOT,NBA,#N/A,203,25,2502,4.8,11.4,3.3,7.1,1.5,4.2,2.2,3.6,0.5,4.7,5.2,2.7,1.6,0.7,2.4,3.7,13.2,0.419,0.464,0.344,0.483,0.605,0.508,1.8
52,Kentavious Caldwell-Pope,2014,2016,DET,NBA,SG,238,199,6959,5,12.4,3.4,7.2,1.7,5.2,1.8,2.3,0.8,2.8,3.6,1.6,1.4,0.2,1.2,2.4,13.5,0.408,0.466,0.327,0.476,0.765,0.506,10
256,Kevin Jones,2013,2013,CLE,NBA,PF,32,0,334,4.6,11.5,4.6,11.5,0,0,1,1.6,4.1,4.3,8.4,1.1,1,0.5,0.9,2.7,10.2,0.402,0.402,,0.402,0.6,0.418,0.2
343,Kevin Murphy,2013,2013,UTA,NBA,SG,17,0,52,4.8,19.4,4.2,15.9,0.7,3.5,0,0,0,2.8,2.8,1.4,0.7,0,2.1,2.8,10.4,0.25,0.261,0.2,0.268,,0.268,-0.3
160,Kevin Seraphin,2011,2013,WAS,NBA,#N/A,194,30,3532,6.1,12.7,6.1,12.7,0,0,1.3,1.9,3,5,7.9,1,0.6,1.7,2.4,4.8,13.5,0.481,0.482,0,0.481,0.688,0.5,2.7
48,Khris Middleton,2013,2015,TOT,NBA,SF,188,122,5313,5.7,12.6,4.1,8.5,1.6,4.1,1.9,2.2,0.8,4,4.8,2.6,1.5,0.2,1.7,3.2,15,0.453,0.477,0.403,0.518,0.858,0.551,10.3
251,Kim English,2013,2013,DET,NBA,SG,41,0,407,3.7,9.9,2.5,5.5,1.2,4.4,1.9,2.6,0.7,2.6,3.3,2.3,1.4,0.3,1.7,4.1,10.5,0.375,0.452,0.28,0.438,0.724,0.477,0.2
31,Klay Thompson,2012,2014,GSW,NBA,SG,229,192,7412,6.7,15.5,4.1,9,2.6,6.5,1.7,2.1,0.5,3,3.5,2.4,1,0.5,1.9,3,17.8,0.435,0.453,0.41,0.521,0.827,0.545,12.7
318,Kris Joseph,2013,2013,TOT,NBA,SF,10,0,54,1.3,9.3,1.3,7.3,0,2,3.3,5.3,0.7,4,4.7,0.7,2,0,1.3,2,6,0.143,0.182,0,0.143,0.625,0.257,-0.1
107,Kyle O'Quinn,2013,2015,ORL,NBA,C,177,41,2650,5.5,11,5.4,10.4,0.2,0.6,1.8,2.5,2.9,7.6,10.5,2.6,1.1,2.1,2.3,5.2,13,0.501,0.516,0.255,0.509,0.708,0.536,5.5
65,Kyle Singler,2013,2015,TOT,NBA,SF,244,168,6373,4,9.5,2.6,5.7,1.5,3.9,1.6,2,1.5,3.2,4.7,1.3,0.9,0.5,1.3,3.3,11.2,0.424,0.455,0.378,0.501,0.811,0.537,8.7
17,Kyrie Irving,2012,2014,CLE,NBA,#N/A,181,181,6102,8.1,18,6.3,13.3,1.8,4.8,4.2,4.9,0.8,3.2,3.9,6.2,1.5,0.4,3.2,2.5,22.1,0.447,0.472,0.378,0.497,0.862,0.548,16
120,Lance Stephenson,2011,2013,IND,NBA,SG,132,73,2835,4.3,9.7,3.4,6.8,0.8,2.8,1.2,1.9,0.8,4,4.8,3.7,1.3,0.3,2,2.6,10.5,0.44,0.499,0.296,0.483,0.644,0.502,4.9
176,Lance Thomas,2012,2014,TOT,NBA,#N/A,106,19,1318,3.1,6.6,3.1,6.6,0,0,2.6,3.4,2.6,4.2,6.8,0.9,0.6,0.4,1.1,4.4,8.8,0.465,0.467,0,0.465,0.776,0.542,2.2
54,Landry Fields,2011,2013,TOT,NBA,#N/A,199,165,5472,4.2,8.8,3.4,6.5,0.8,2.3,1.5,2.2,1.5,5.2,6.6,2.5,1.3,0.3,1.7,1.8,10.6,0.476,0.526,0.336,0.521,0.665,0.544,9.8
248,Larry Owens,2011,2012,TOT,NBA,#N/A,19,0,218,3.1,7.1,1.8,4.1,1.3,3,1.2,2.1,0.5,4.1,4.6,2,1.5,1,1.2,4.6,8.8,0.442,0.44,0.444,0.535,0.538,0.544,0.3
72,Larry Sanders,2011,2013,MIL,NBA,C,183,67,3452,5.3,11,5.3,11,0,0,1.4,2.3,3.6,6.9,10.5,1.4,1.1,3.6,1.8,5,11.9,0.479,0.481,0,0.479,0.58,0.494,8
104,Lavoy Allen,2012,2014,TOT,NBA,#N/A,185,54,3365,4.5,9.9,4.5,9.7,0,0.1,0.9,1.3,3.5,5.9,9.4,1.9,0.7,1.1,1.3,4.1,9.9,0.455,0.46,0.143,0.456,0.702,0.475,5.6
254,Lazar Hayward,2011,2013,TOT,NBA,SF,72,0,591,4.3,12.3,3,7.6,1.3,4.8,2.8,3.7,1.5,4,5.5,2.1,1,0.5,1.7,4,12.6,0.347,0.395,0.269,0.399,0.767,0.453,0.2
292,Lester Hudson,2010,2012,TOT,NBA,#N/A,52,0,538,6,16,4.3,9.6,1.7,6.4,3.1,3.9,1,3.6,4.6,4.4,1.7,0.5,3.5,3.2,16.7,0.372,0.444,0.263,0.425,0.81,0.473,0
331,Lorenzo Brown,2014,2016,TOT,NBA,PG,63,7,834,3.7,10.1,3.3,7.2,0.4,2.8,1,1.6,0.9,3.6,4.5,6.1,1.9,0.4,2.4,3.1,8.9,0.369,0.455,0.152,0.391,0.667,0.414,-0.2
